container_id,name,type,zone,module_id,width_cm,depth_cm,height_cm,open_face,max_mass,current_mass,access_index,parent_container_id,is_active,description,created_at,last_accessed
M3-A001,Airlock Locker 01,LOCKER,Airlock,M3,40.3,55.6,168.4,-X,426.0,0.0,54,,True,Locker in Airlock for storage,2025-09-02T11:36:44.764592,
M3-C002,Cockpit Drawer 01,DRAWER,Cockpit,M3,119.0,30.7,205.0,+Y,687.3,0.0,31,,False,Drawer in Cockpit for storage,2025-09-02T11:36:44.764592,
M2-CC003,Command Center Vehicle 01,VEHICLE,Command_Center,M2,67.0,40.2,77.4,-Y,332.6,0.0,47,,True,Vehicle in Command Center for storage,2025-09-02T11:36:44.764592,
M3-CC004,Command Center Trash Bag 02,TRASH_BAG,Command_Center,M3,131.5,38.7,112.8,+X,451.9,0.0,41,,True,Trash Bag in Command Center for storage,2025-09-02T11:36:44.764592,
M1-CC005,Command Center Locker 03,LOCKER,Command_Center,M1,55.1,61.8,74.4,-Z,232.2,0.0,39,,True,Locker in Command Center for storage,2025-09-02T11:36:44.764592,
M3-CC006,Command Center Locker 04,LOCKER,Command_Center,M3,47.9,69.1,180.6,-Y,868.0,0.0,53,,True,Locker in Command Center for storage,2025-09-02T11:36:44.764592,
M3-CC007,Command Center Free Volume 05,FREE_VOLUME,Command_Center,M3,48.0,71.7,238.1,+X,1445.8,0.0,60,,True,Free Volume in Command Center for storage,2025-09-02T11:36:44.764592,
M1-CC008,Command Center Trash Bag 06,TRASH_BAG,Command_Center,M1,33.5,64.7,108.2,-X,348.1,0.0,18,,True,Trash Bag in Command Center for storage,2025-09-02T11:36:44.764592,
M3-CQ009,Crew Quarters Ctb 01,CTB,Crew_Quarters,M3,100.7,45.7,85.1,-Y,350.5,0.0,27,,True,Ctb in Crew Quarters for storage,2025-09-02T11:36:44.764592,
M1-CQ010,Crew Quarters Ctb 02,CTB,Crew_Quarters,M1,94.2,69.8,239.5,+X,1002.4,0.0,25,,True,Ctb in Crew Quarters for storage,2025-09-02T11:36:44.764592,
M3-CQ011,Crew Quarters Locker 03,LOCKER,Crew_Quarters,M3,46.8,47.6,182.5,-X,436.1,0.0,12,,True,Locker in Crew Quarters for storage,2025-09-02T11:36:44.764592,
M3-EB012,Engine Bay Locker 01,LOCKER,Engine_Bay,M3,136.8,124.7,62.1,-Z,1722.0,0.0,49,,True,Locker in Engine Bay for storage,2025-09-02T11:36:44.764592,
M3-EB013,Engine Bay Vehicle 02,VEHICLE,Engine_Bay,M3,62.3,47.4,60.6,-Y,293.8,0.0,77,,True,Vehicle in Engine Bay for storage,2025-09-02T11:36:44.764592,
M3-EB014,Engineering Bay Rack Bay 01,RACK_BAY,Engineering_Bay,M3,181.9,88.8,196.7,+Y,3369.6,0.0,54,,True,Rack Bay in Engineering Bay for storage,2025-09-02T11:36:44.764592,
M2-EB015,Engineering Bay Locker 02,LOCKER,Engineering_Bay,M2,169.0,118.9,120.1,+Z,1611.9,0.0,35,,True,Locker in Engineering Bay for storage,2025-09-02T11:36:44.764592,
M3-ES016,External Storage Vehicle 01,VEHICLE,External_Storage,M3,133.2,80.8,156.4,+X,2686.8,0.0,87,,False,Vehicle in External Storage for storage,2025-09-02T11:36:44.764592,
M3-ES017,External Storage Vehicle 02,VEHICLE,External_Storage,M3,103.3,62.6,222.6,-Y,1857.6,0.0,93,,True,Vehicle in External Storage for storage,2025-09-02T11:36:44.764592,
M1-ES018,External Storage Free Volume 03,FREE_VOLUME,External_Storage,M1,71.2,103.9,230.3,-Z,1871.4,0.0,89,,True,Free Volume in External Storage for storage,2025-09-02T11:36:44.764592,
M1-G019,Greenhouse Locker 01,LOCKER,Greenhouse,M1,78.2,86.9,81.8,-Y,295.5,0.0,36,,True,Locker in Greenhouse for storage,2025-09-02T11:36:44.764592,
M1-G020,Greenhouse Locker 02,LOCKER,Greenhouse,M1,54.2,37.8,173.6,+X,636.9,0.0,17,,True,Locker in Greenhouse for storage,2025-09-02T11:36:44.764592,
M3-L021,Lab Locker 01,LOCKER,Lab,M3,60.6,83.4,157.1,-X,960.2,0.0,28,,True,Locker in Lab for storage,2025-09-02T11:36:44.764592,
M2-L022,Lab Cabinet 02,CABINET,Lab,M2,50.9,40.7,137.6,+X,511.8,0.0,29,,True,Cabinet in Lab for storage,2025-09-02T11:36:44.764592,
M2-L023,Lab Drawer 03,DRAWER,Lab,M2,138.3,40.8,132.5,-Y,588.8,0.0,12,,True,Drawer in Lab for storage,2025-09-02T11:36:44.764592,
M1-L024,Lab Cabinet 04,CABINET,Lab,M1,76.4,60.6,105.0,-Y,871.5,0.0,40,,True,Cabinet in Lab for storage,2025-09-02T11:36:44.764592,
M1-L025,Lab Drawer 05,DRAWER,Lab,M1,101.7,89.5,62.7,-X,632.8,0.0,10,,True,Drawer in Lab for storage,2025-09-02T11:36:44.764592,
