item_id,name,category,subcategory,width_cm,depth_cm,height_cm,mass_kg,temp_requirement,lot_number,current_location,orientation_allowed,hazardous_class,tags_id,priority,expiry_date,maximum_uses,current_uses,usage_remaining,usage_frequency,preferred_zone,status
000001,Antibiotic_Supply_001,Medical,Antibiotic_Supply,22.1,23.0,11.9,3.28,AMBIENT,LOT2024-911,,False,BIOHAZARD,"[""BAR553014"", ""RFID89129"", ""QR2496""]",78,2027-02-26,4424.0,84,4340.0,0.26,Medical_Bay,ACTIVE
000002,Antibiotic_Supply_002,Medical,Antibiotic_Supply,29.5,16.6,5.0,6.07,WARM,LOT2026-447,,True,NONE,"[""BAR765620""]",85,2027-03-17,3623.0,657,2966.0,0.43,Medical_Bay,ACTIVE
000003,Antibiotic_Supply_003,Medical,Antibiotic_Supply,35.4,18.6,22.0,2.38,COLD,LOT2025-332,,True,BIOHAZARD,"[""BAR221552""]",100,2026-11-16,4507.0,2222,2285.0,0.46,Medical_Bay,BROKEN
000004,Antibiotic_Supply_004,Medical,Antibiotic_Supply,9.7,24.6,20.2,4.04,COLD,LOT2025-449,,True,NONE,"[""BAR832168"", ""RFID13783""]",84,2027-11-19,423.0,40,383.0,0.53,Medical_Bay,ACTIVE
000005,Antibiotic_Supply_005,Medical,Antibiotic_Supply,8.4,21.1,9.8,6.75,AMBIENT,LOT2026-299,,True,NONE,"[""BAR633590"", ""RFID64459""]",73,2027-01-17,963.0,282,681.0,0.79,Medical_Bay,ACTIVE
000006,Emergency_Oxygen_Mask_001,Medical,Emergency_Oxygen_Mask,37.5,24.3,26.9,6.93,AMBIENT,LOT2025-841,,True,NONE,"[""BAR102689"", ""RFID49132""]",78,2027-12-02,3400.0,304,3096.0,0.51,Medical_Bay,ACTIVE
000007,Emergency_Oxygen_Mask_002,Medical,Emergency_Oxygen_Mask,23.5,18.6,23.8,3.08,N/A,LOT2025-240,,True,NONE,"[""BAR997594"", ""RFID15720""]",99,2026-08-27,1546.0,390,1156.0,0.43,Medical_Bay,WASTE_DEPLETED
000008,Emergency_Oxygen_Mask_003,Medical,Emergency_Oxygen_Mask,29.2,34.3,29.5,4.01,N/A,LOT2024-896,,True,NONE,"[""BAR986088"", ""RFID78937""]",71,2026-02-08,4115.0,632,3483.0,0.11,Medical_Bay,ACTIVE
000009,Emergency_Oxygen_Mask_004,Medical,Emergency_Oxygen_Mask,33.0,16.5,20.2,3.24,AMBIENT,LOT2026-909,,False,NONE,"[""BAR896290"", ""RFID80912"", ""QR2121""]",72,2026-09-03,4372.0,1177,3195.0,0.26,Medical_Bay,ACTIVE
000010,First_Aid_Kit_001,Medical,First_Aid_Kit,10.9,39.3,23.8,5.66,AMBIENT,LOT2024-333,,True,NONE,"[""BAR934816"", ""RFID56984""]",73,2026-12-30,1363.0,579,784.0,0.2,Medical_Bay,ACTIVE
000011,First_Aid_Kit_002,Medical,First_Aid_Kit,13.8,13.6,19.8,3.12,WARM,LOT2025-654,,True,BIOHAZARD,"[""BAR366314"", ""RFID97404"", ""QR8622""]",91,2026-06-05,4077.0,323,3754.0,0.73,Medical_Bay,ACTIVE
000012,First_Aid_Kit_003,Medical,First_Aid_Kit,38.2,39.6,11.8,7.7,WARM,LOT2025-874,,True,NONE,"[""BAR606680"", ""RFID59986""]",92,2026-06-15,3743.0,604,3139.0,0.5,Medical_Bay,BROKEN
000013,First_Aid_Kit_004,Medical,First_Aid_Kit,34.6,20.7,4.2,6.93,WARM,LOT2025-795,,True,NONE,"[""BAR937665"", ""RFID56179"", ""QR4115""]",94,2027-11-03,402.0,184,218.0,0.53,Medical_Bay,ACTIVE
000014,First_Aid_Kit_005,Medical,First_Aid_Kit,29.8,12.4,6.5,5.06,COLD,LOT2024-093,,True,NONE,"[""BAR409445"", ""RFID64460"", ""QR3165""]",71,2026-08-14,3612.0,749,2863.0,0.65,Medical_Bay,SCHEDULED
